created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 03 11:21:45 +0000 2022;1576895275897016323;"Hai pemilik suara dalam Pemilu... Yang tetap sabar nunggu komando Ijtima Ulama dari Habiebana IBHRS mana suaranya.. RT keras ...!! https://t.co/1Z71nYptzN";41;199;1157;3239;in;1319594866054033408;1576895275897016323;panglima_z;https://twitter.com/panglima_z/status/1576895275897016323
Mon Oct 03 04:45:59 +0000 2022;1576795676846936064;"Hari ini Partai NasDem mendeklarasikan calon presiden kami untuk Pemilu 2024 adalah Pak @aniesbaswedan https://t.co/MMN8MEobYX";109;962;665;3789;in;438017429;1576795676846936064;pranandapaloh;https://twitter.com/pranandapaloh/status/1576795676846936064
Mon Oct 03 03:48:56 +0000 2022;1576781318494773248;"Breaking News Partai NasDem resmi mendeklarasikan Bapak Politik Identitas Anies Baswedan sebagai (capres) Pemilu 2024. Deklarasi diumumkan secara langsung oleh Ketua Umum NasDem Surya Paloh di Kantor DPP Partai NasDem, Gondangdia.  https://t.co/RdCKEErNyM";27;239;87;467;in;2385926900;1576781318494773248;MARQUEZ__93;https://twitter.com/MARQUEZ__93/status/1576781318494773248
Mon Oct 03 03:44:09 +0000 2022;1576780116759224320;"Partai @NasDem resmi mengumumkan Gubernur DKI Jakarta @aniesbaswedan sebagai bakal calon Presiden di Pemilu 2024. Pengumuman itu disampaikan langsung oleh Ketua Umum NasDem Surya Paloh. #BreakingNews https://t.co/r4Nm0YHzYx https://t.co/8dKunvC2D4";109;179;569;2470;in;759692754985242625;1576780116759224320;kumparan;https://twitter.com/kumparan/status/1576780116759224320
Mon Oct 03 00:36:31 +0000 2022;1576732898329174016;"Duit ora payu!! Warga ds Narukan kec Kragan kab.Rembang JaTeng,mrayakan kmenangan Gus Faruq (adk spupu Gus Baha) di pilihan lurah. Walau lawanya diduga bagi2i uang 700rb/kepala nmun wrga ttp pilih calon yg kredibel. Uang ga laku!! Smoga ini menginspirasi masy Ind di pemilu 2024 https://t.co/acNUj2YiAn";99;167;1152;3564;in;1518055859569389568;1576732898329174016;JarnasABW;https://twitter.com/JarnasABW/status/1576732898329174016
Sun Oct 02 13:50:53 +0000 2022;1576570416260186112;"MK Tolak Gugatan PKS Soal Presidential Threshold 20 Persen, Ini Penjelasan Ambang Batas Pemilu 2024.  Apapun alasannya sampe AYAM mukanya mirip IKAN SAPU-SAPU jg ngga bakal dikabulin smua permohonan..😂 https://t.co/ngOUUPGxB3";14;100;185;552;in;1466651308102877187;1576570416260186112;papa_loren;https://twitter.com/papa_loren/status/1576570416260186112
Sat Oct 01 08:32:37 +0000 2022;1576127936826310656;"Di Pemilu 2024 ada cara alternatif jika @psi_id ingin membobol barikade Parliamentary Threshold.  "Bujuk @jokowi menjadi Ketum partai. Ini hanya soal intriks, bagaimana cara membengkokkan tanduk banteng"  😝😛😜 https://t.co/achlVlzrCD";15;133;117;771;in;978113148707160064;1576127936826310656;SeruniPuspaAlam;https://twitter.com/SeruniPuspaAlam/status/1576127936826310656
Sat Oct 01 06:18:08 +0000 2022;1576094093163515904;"Kolonel Aktif TNI, mempertanyakan Kampanye &amp  Tata Cara Pencoblosan berbahasa Mandarin Buat Apa, Kan Pemilihnya Orang Indonesia, berarti Selama Ini Mendatangkan Jutaaan TKA China untuk Ikut PEMILU https://t.co/5fWOV4mQaJ";350;553;3855;7722;in;1295408220513529857;1576094093163515904;PetetYul;https://twitter.com/PetetYul/status/1576094093163515904
Fri Sep 30 11:54:37 +0000 2022;1575816381920002048;"Polling khusus manusia. Dalam Pemilu 2024 H nanti siapakah figur yang paling layak jadi Presiden RI ?";204;864;568;722;in;155928815;1575816381920002048;emerson_yuntho;https://twitter.com/emerson_yuntho/status/1575816381920002048
Fri Sep 30 00:05:57 +0000 2022;1575638039828647936;"Demokrasi yang hanya prosedural tanpa perhatikan substansial akan hadirkan kemunduran. Putusan MK yang menolak Gugatan PT 20% telah menutup rapat pintu demokrasi, yg akan berakibat pada pembelahan di Pemilu berikutnya..  dan yang rugi adalah bangsa ini sendiri. https://t.co/Qo8v1ilTuY";72;383;122;424;in;22365191;1575638039828647936;PKSejahtera;https://twitter.com/PKSejahtera/status/1575638039828647936
Thu Sep 29 22:45:36 +0000 2022;1575617818015330304;"Gus Yahya Menolak Organisasi NU Dijadikan Alat Politik Pemilu 2024.  Percaya ga klen sodara2? Aku sih gak percaya klo melihat sepak terjang NU zaman now! 🤣🤣🤣";35;299;258;1725;in;105085302;1575617818015330304;bachrum_achmadi;https://twitter.com/bachrum_achmadi/status/1575617818015330304
Tue Sep 27 11:50:00 +0000 2022;1574728056270249984;"Gus Yahya: Kami Menolak Organisasi NU Dijadikan Alat Politik Pemilu 2024! https://t.co/QkMxV69l4o";71;388;64;320;in;1243804423001763841;1574728056270249984;democrazymedia;https://twitter.com/democrazymedia/status/1574728056270249984
Tue Sep 27 09:33:55 +0000 2022;1574693809723936768;"Luar biasa SERAKAHNYA sm jabatan, Sekber Prabowo-Jokowi Gugat UU Pemilu ke MK, berharap Jokowi Bisa Jadi Cawapres..🙈 https://t.co/Z2MeTJAe73";64;328;502;1382;in;1466651308102877187;1574693809723936768;papa_loren;https://twitter.com/papa_loren/status/1574693809723936768
Tue Sep 27 09:17:07 +0000 2022;1574689583056715776;"Gus Yahya Menolak Organisasi NU Dijadikan Alat Politik Pemilu 2024 https://t.co/BdnVsGy28w https://t.co/F5dygM2sCP";86;394;78;504;in;71436318;1574689583056715776;KompasTV;https://twitter.com/KompasTV/status/1574689583056715776
Tue Sep 27 03:48:02 +0000 2022;1574606765798223872;"Hasil Pemilu itu bukan ditentukan oleh Rakyat yang memberikan suara, tapi ditentukan oleh Tukang Ngitung Suara. Maka mesti kita awasi betul ini Tukang Ngitung Suaranya dan kita doakan agar mereka berpihak pada keadilan dan masa depan bangsa #Hensat";52;387;447;1785;in;102938290;1574606765798223872;satriohendri;https://twitter.com/satriohendri/status/1574606765798223872
Tue Sep 27 03:10:48 +0000 2022;1574597394557042689;"Ada orang "ngbet" jadi presiden lalu mengklaim dirinya direkomendasikan oleh partai tertentu untuk maju capres pada pemilu tahun 2024. -- Kemudian elite partai yang diklaim tersebut membantah keras, bahkan tidak merasa mengundang sosok tersebut 😅  @Mdy_Asmara1701 https://t.co/XqMudUObor";33;126;167;593;in;1243096022659686400;1574597394557042689;Pencerah___;https://twitter.com/Pencerah___/status/1574597394557042689
Mon Sep 26 11:21:02 +0000 2022;1574358380067844096;"Ketua Umum PBNU KH Yahya Cholil Staquf tegas mengatakan Nahdlatul Ulama menolak dijadikan sebagai alat politik pada pemilu 2024 mendatang. https://t.co/CaTie1UEOc";20;131;63;420;in;214818815;1574358380067844096;nu_online;https://twitter.com/nu_online/status/1574358380067844096
Mon Sep 26 10:18:54 +0000 2022;1574342743697915904;"manifesting weishenv! 2024 balik buat tour sekalian pemilu https://t.co/v95c6vjjyY";286;413;427;4583;in;1104412476689375232;1574342743697915904;weishenvess;https://twitter.com/weishenvess/status/1574342743697915904
Mon Sep 26 04:51:37 +0000 2022;1574260381471584256;"Pemilu 2 pasang gak adil? Sah dong... Dan buat saya pribadi, berdasar history/data survei, 2 org yg pantas dikasih kesempatan utk maju sbg capres Ganjar vs Anies, 2 org yg wakili 2 kutub pemilih, modal karier politik "bottom up" &amp  siapapun yg menang hrs diterima sbg fakta sejarah";27;184;69;473;in;89418832;1574260381471584256;yunartowijaya;https://twitter.com/yunartowijaya/status/1574260381471584256
Mon Sep 26 02:47:53 +0000 2022;1574229240601780224;"Kondom Bergerigi memfitnah Jokowi mengatur Pemilu 2024 hanya 2 paslon   Ngomong tanpa bukti...jadi siapa penjahat sesungguhnya !?🤔🙄 https://t.co/evJT7dMAZu";119;508;343;1062;in;1211153840122155008;1574229240601780224;alextham878;https://twitter.com/alextham878/status/1574229240601780224
Sun Sep 25 23:57:58 +0000 2022;1574186481375006720;"Gemetaran saat beradu fakta dg @PDemokrat , krn bisanya debat kusir adu urat belaka dg narasi kosong tanpa data, sampai prestasi pemerintahan era Ketum-nya di Pemilu 2004 sendiri dianggap cacat &amp  penuh kecurangan. DukungAHY Pimpin Perubahan #DemokratProRakyat https://t.co/aK6uKsLL8g";68;538;281;985;in;1438050218281373696;1574186481375006720;Herzaky__MP;https://twitter.com/Herzaky__MP/status/1574186481375006720
Sun Sep 25 13:54:09 +0000 2022;1574034524455194624;"Prabowo: “Saya Mantan Jenderal Baret Merah, tapi Pak Jokowi Ilmunya di Atas Saya”.  Klo tau ilmunya lbh tinggi dr awal kn enak jd ngga hrs ngabisin uang buat pemilu.  Trus ngga bakalan jg ada cebong dan kampret. Ya kaan? https://t.co/la3CSYPTFQ";23;242;113;622;in;1466651308102877187;1574034524455194624;papa_loren;https://twitter.com/papa_loren/status/1574034524455194624
